Genus,Species,CurrentListing
Acropora,valimunensis,II
Acropora,variabilis,II
Acropora,variolosa,II
Acropora,vaughani,II
Acropora,vermiculata,II
Acropora,verweyi,II
Acropora,walindii,II
Acropora,wallaceae,II
Acropora,willisae,II
Acropora,yongei,II
,,II
Addax,nasomaculatus,I
Adelomyia,,II
Adelomyia,melanogenys,II
Adelopora,,II
Adelopora,crassilabrum,II
Adelopora,fragilis,II
Adelopora,moseleyi,II
Adelopora,pseudothyron,II
Adelphobates,,II
Adelphobates,castaneoticus,II
Adelphobates,galactonotus,II
Adelphobates,quinquevittatus,II
Aegolius,,II
Aegolius,acadicus,II
Aegolius,funereus,II
Aegolius,harrisii,II
Aegolius,ridgwayi,II
Aegypius,,II
Aegypius,monachus,II
Afrotis,,II
Afrotis,afra,II
Afrotis,afraoides,II
Agalychnis,,II
Agalychnis,annae,II
Agalychnis,callidryas,II
Agalychnis,moreletii,II
Agalychnis,saltator,II
Agalychnis,spurrelli,II
Agapornis,,II/NC
Agapornis,canus,II
Agapornis,fischeri,II
Agapornis,lilianae,II
Agapornis,nigrigenis,II
Agapornis,personatus,II
Agapornis,pullarius,II
Agapornis,roseicollis,NC
Agapornis,swindernianus,II
Agapornis,taranta,II
Agaricia,,II
Agaricia,agaricites,II
Agaricia,fragilis,II
Agaricia,grahamae,II
Agaricia,humilis,II
Agaricia,lamarcki,II
Agaricia,tenuifolia,II
Agaricia,undata,II
,,II
Aglaeactis,,II
Aglaeactis,aliciae,II
Aglaeactis,castelnaudii,II
Aglaeactis,cupripennis,II
Aglaeactis,pamela,II
Aglaiocercus,,II
Aglaiocercus,coelestis,II
Aglaiocercus,kingi,II
Agrias,amydon,III/NC
Agrias,amydon,III
Ailuropoda,,I
Ailuropoda,melanoleuca,I
Ailurus,fulgens,I
Alatotrochus,,II
Alatotrochus,rubescens,II
Aldabrachelys,,II
Aldabrachelys,gigantea,II
Alisterus,,II
Alisterus,amboinensis,II
Alisterus,chloropterus,II
Alisterus,scapularis,II
Allenopithecus,,II
Allenopithecus,nigroviridis,II
Alligator,,I/II
,,I/II
Alligator,mississippiensis,II
Alligator,sinensis,I
Allobates,femoralis,II
Allobates,hodli,II
Allobates,myersi,II
Allobates,rufulus,II
Allobates,zaparo,II
Allocebus,,I
Allocebus,trichotis,I
Allopathes,,II
Allopathes,denhartogi,II
Allopathes,desbonni,II
Allopathes,robillardi,II
Alouatta,,I/II
Alouatta,belzebul,II
Alouatta,caraya,II
Alouatta,coibensis,I
Alouatta,guariba,II
Alouatta,macconnelli,II
Alouatta,nigerrima,II
Alouatta,palliata,I
Alouatta,pigra,I
Alouatta,sara,II
Alouatta,seniculus,II
Altiphrynoides,,I
Altiphrynoides,malcolmi,I
Altiphrynoides,osgoodi,I
Alveopora,,II
Alveopora,allingi,II
Alveopora,catalai,II
Alveopora,daedalea,II
Alveopora,excelsa,II
Alveopora,fenestrata,II
Alveopora,gigas,II
Alveopora,japonica,II
Alveopora,marionensis,II
Alveopora,minuta,II
Alveopora,ocellata,II
Alveopora,spongiosa,II
Alveopora,tizardi,II
Alveopora,verrilliana,II
Alveopora,viridis,II
Amandava,formosa,II
Amazilia,,II
Amazilia,alticola,II
Amazilia,amabilis,II
Amazilia,amazilia,II
Amazilia,beryllina,II
Amazilia,boucardi,II
Amazilia,brevirostris,II
Amazilia,candida,II
Amazilia,castaneiventris,II
Amazilia,chionogaster,II
Amazilia,cupreicauda,II
Amazilia,cyanifrons,II
Amazilia,cyanocephala,II
Amazilia,cyanura,II
Amazilia,edward,II
Amazilia,fimbriata,II
Amazilia,franciae,II
Amazilia,lactea,II
Amazilia,leucogaster,II
Amazilia,luciae,II
Amazilia,rondoniae,II
Amazilia,rosenbergi,II
Amazilia,rutila,II
Amazilia,saucerrottei,II
Amazilia,tobaci,II
Amazilia,tzacatl,II
Amazilia,versicolor,II
Amazilia,violiceps,II
Amazilia,viridicauda,II
Amazilia,viridifrons,II
Amazilia,viridigaster,II
Amazilia,yucatanensis,II
Amazona,,I/II
Amazona,aestiva,II
Amazona,agilis,II
Amazona,albifrons,II
Amazona,amazonica,II
Amazona,arausiaca,I
Amazona,auropalliata,I
Amazona,autumnalis,II
Amazona,barbadensis,I
Amazona,brasiliensis,I
Amazona,collaria,II
Amazona,dufresniana,II
Amazona,farinosa,II
Amazona,festiva,II
Amazona,finschi,I
Amazona,guildingii,I
Amazona,imperialis,I
Amazona,kawalli,II
Amazona,leucocephala,I
Amazona,mercenaria,II
Amazona,ochrocephala,II
Amazona,oratrix,I
Amazona,pretrei,I
Amazona,rhodocorytha,I
Amazona,tucumana,I
Amazona,ventralis,II
Amazona,versicolor,I
Amazona,vinacea,I
Amazona,viridigenalis,I
Amazona,vittata,I
Amazona,xantholora,II
Amazona,xanthops,II
Amblyrhynchus,cristatus,II
Ambystoma,dumerilii,II
Ambystoma,mexicanum,II
Ameerega,,II
Ameerega,altamazonica,II
Ameerega,andina,II
Ameerega,bassleri,II
Ameerega,bilinguis,II
Ameerega,boehmei,II
Ameerega,boliviana,II
Ameerega,braccata,II
Ameerega,cainarachi,II
Ameerega,erythromos,II
Ameerega,flavopicta,II
Ameerega,hahneli,II
Ameerega,ignipedis,II
Ameerega,ingeri,II
Ameerega,labialis,II
Ameerega,macero,II
Ameerega,maculata,II
Ameerega,parvula,II
Ameerega,pepperi,II
Ameerega,peruviridis,II
Ameerega,petersi,II
Ameerega,picta,II
Ameerega,planipaleae,II
Ameerega,pongoensis,II
Ameerega,pulchripecta,II
Ameerega,rubriventris,II
Ameerega,silverstonei,II
Ameerega,simulans,II
Ameerega,smaragdina,II
Ameerega,trivittata,II
Ameerega,yoshina,II
Ameerega,yungicola,II
Amietophrynus,superciliaris,I
Ammotragus,lervia,II
Amyda,cartilaginea,II
Anacropora,,II
Anacropora,forbesi,II
Anacropora,matthai,II
Anacropora,pillai,II
Anacropora,puertogalerae,II
Anacropora,reticulata,II
Anacropora,spinosa,II
Anacropora,spumosa,II
Anas,aucklandica,I
Anas,bernieri,II
Anas,chlorotis,I
Anas,formosa,II
Anas,laysanensis,I
Anas,nesiotis,I
Anathana,,II
Anathana,ellioti,II
Andinobates,,II
Andinobates,abditus,II
Andinobates,altobueyensis,II
Andinobates,bombetes,II
Andinobates,claudiae,II
Andinobates,daleswansoni,II
Andinobates,dorisswansonae,II
Andinobates,fulguritus,II
Andinobates,minutus,II
Andinobates,opisthomelas,II
Andinobates,tolimensis,II
Andinobates,viridis,II
Andinobates,virolensis,II
Andrias,,I
Andrias,davidianus,I
Andrias,japonicus,I
Androdon,,II
Androdon,aequatorialis,II
Anguilla,anguilla,II
Anodorhynchus,,I/NC
Anodorhynchus,glaucus,I
Anodorhynchus,hyacinthinus,I/NC
Anodorhynchus,leari,I
Anomastraea,,II
Anomastraea,irregularis,II
Anomocora,,II
Anomocora,carinata,II
Anomocora,fecunda,II
Anomocora,gigas,II
Anomocora,marchadi,II
Anomocora,prolifera,II
Anopetia,,II
Anopetia,gounellei,II
Anorrhinus,,II
Anorrhinus,galeritus,II
Anorrhinus,tickelli,II
Anoxypristis,,I
Anoxypristis,cuspidata,I
Antaresia,,II
Antaresia,childreni,II
Antaresia,maculosa,II
Antaresia,perthensis,II
Antaresia,stimsoni,II
Anthemiphyllia,,II
Anthemiphyllia,dentata,II
Anthemiphyllia,frustum,II
Anthemiphyllia,macrolobata,II
Anthemiphyllia,multidentata,II
Anthemiphyllia,pacifica,II
Anthemiphyllia,patera,II
Anthemiphyllia,spinifera,II
,,II
Anthocephala,,II
Anthocephala,floriceps,II
Anthracoceros,,II
Anthracoceros,albirostris,II
Anthracoceros,coronatus,II
Anthracoceros,malayanus,II
Anthracoceros,marchei,II
Anthracoceros,montani,II
Anthracothorax,,II
Anthracothorax,dominicus,II
Anthracothorax,mango,II
Anthracothorax,nigricollis,II
Anthracothorax,prevostii,II
Anthracothorax,recurvirostris,II
Anthracothorax,veraguensis,II
Anthracothorax,viridigula,II
Anthracothorax,viridis,II
Anthropoides,,II
Anthropoides,paradiseus,II
Anthropoides,virgo,II
Antilocapra,americana,I/NC
Antilope,cervicapra,III
,,II
Antipathella,,II
Antipathella,aperta,II
Antipathella,fiordensis,II
Antipathella,strigosa,II
Antipathella,subpinnata,II
Antipathella,wollastonii,II
Antipathes,,II
Antipathes,alopecuroides,II
Antipathes,arborea,II
Antipathes,assimilis,II
Antipathes,atlantica,II
Antipathes,boscii,II
Antipathes,brookii,II
Antipathes,caribbeana,II
Antipathes,catharinae,II
Antipathes,ceylonensis,II
Antipathes,chamaemorus,II
Antipathes,chota,II
Antipathes,curvata,II
Antipathes,cylindrica,II
Antipathes,delicatula,II
Antipathes,dendrochristos,II
Antipathes,densa,II
Antipathes,dichotoma,II
Antipathes,dissecta,II
Antipathes,dubia,II
Antipathes,elegans,II
Antipathes,erinaceus,II
Antipathes,flabellum,II
Antipathes,fragilis,II
Antipathes,fruticosa,II
Antipathes,furcata,II
Antipathes,galapagensis,II
Antipathes,gallensis,II
Antipathes,glutinata,II
Antipathes,gracilis,II
Antipathes,grandiflora,II
Antipathes,grandis,II
Antipathes,grayi,II
Antipathes,griggi,II
Antipathes,herdmani,II
Antipathes,hypnoides,II
Antipathes,indistincta,II
Antipathes,intermedia,II
Antipathes,irregularis,II
Antipathes,lenta,II
Antipathes,lentipinna,II
Antipathes,longibrachiata,II
Antipathes,mediterranea,II
Antipathes,minor,II
Antipathes,nilanduensis,II
Antipathes,pauroclema,II
Antipathes,pectinata,II
Antipathes,plana,II
Antipathes,plantagenista,II
Antipathes,pseudodichotoma,II
Antipathes,regularis,II
Antipathes,rhipidion,II
Antipathes,rubra,II
Antipathes,rubusiformis,II
Antipathes,salicoides,II
Antipathes,sarothrum,II
Antipathes,sealarki,II
Antipathes,sibogae,II
Antipathes,simplex,II
Antipathes,simpsoni,II
Antipathes,speciosa,II
Antipathes,spinulosa,II
Antipathes,ternatensis,II
Antipathes,thamnoides,II
Antipathes,tristis,II
Antipathes,umbratica,II
Antipathes,valdiviae,II
Antipathes,viminalis,II
Antipathes,virgata,II
Antipathes,zoothallus,II
,,II
Aonyx,,I/II
Aonyx,capensis,I/II
Aonyx,capensis,I
Aonyx,cinerea,II
,,II
Aotus,,II
Aotus,azarae,II
Aotus,hershkovitzi,II
Aotus,jorgehernandezi,II
Aotus,lemurinus,II
Aotus,miconax,II
Aotus,nancymaae,II
Aotus,nigriceps,II
Aotus,trivirgatus,II
Aotus,vociferans,II
Apalone,spinifera,I/NC
Apalone,spinifera,I
Aphanipathes,,II
Aphanipathes,pedata,II
Aphanipathes,salix,II
Aphanipathes,sarothamnoides,II
Aphanipathes,verticillata,II
,,II
Aphantochroa,,II
Aphantochroa,cirrochloris,II
Aphonopelma,albiceps,II
Aphonopelma,pallidum,II
Apodora,,II
Apodora,papuana,II
Aprosmictus,,II
Aprosmictus,erythropterus,II
Aprosmictus,jonquillaceus,II
Aquila,,I/II
Aquila,adalberti,I
Aquila,audax,II
Aquila,chrysaetos,II
Aquila,clanga,II
Aquila,gurneyi,II
Aquila,hastata,II
Aquila,heliaca,I
Aquila,nipalensis,II
Aquila,pomarina,II
Aquila,rapax,II
Aquila,verreauxii,II
Ara,,I/II
Ara,ambiguus,I
Ara,ararauna,II
Ara,chloropterus,II
Arachnopathes,,II
Arachnopathes,aculeata,II
Arachnopathes,clathrata,II
Arachnopathes,ericoides,II
Ara,glaucogularis,I
Ara,macao,I
Ara,militaris,I
Arapaima,gigas,II
Ara,rubrogenys,I
Ara,severus,II
Aratinga,,II
Aratinga,acuticaudata,II
Aratinga,aurea,II
Aratinga,auricapillus,II
Aratinga,cactorum,II
Aratinga,canicularis,II
Aratinga,chloroptera,II
Aratinga,erythrogenys,II
Aratinga,euops,II
Aratinga,finschi,II
Aratinga,holochlora,II
Aratinga,jandaya,II
Aratinga,leucophthalma,II
Aratinga,maculata,II
Aratinga,mitrata,II
Aratinga,nana,II
Aratinga,pertinax,II
Aratinga,solstitialis,II
Aratinga,strenua,II
Aratinga,wagleri,II
Aratinga,weddellii,II
Archaius,,II
Archaius,tigris,II
Archilochus,,II
Archilochus,alexandri,II
Archilochus,colubris,II
Arctictis,binturong,III
Arctocebus,,II
Arctocebus,aureus,II
Arctocebus,calabarensis,II
Arctocephalus,,I/II
Arctocephalus,australis,II
Arctocephalus,forsteri,II
Arctocephalus,galapagoensis,II
Arctocephalus,gazella,II
Arctocephalus,philippii,II
Arctocephalus,pusillus,II
Arctocephalus,townsendi,I
Arctocephalus,tropicalis,II
Ardeotis,,I/II
Ardeotis,arabs,II
Ardeotis,australis,II
Ardeotis,kori,II
Ardeotis,nigriceps,I
Argusianus,argus,II
Asarcornis,scutulata,I
Asio,,II
Asio,abyssinicus,II
Asio,capensis,II
Asio,flammeus,II
Asio,madagascariensis,II
Asio,otus,II
Asio,stygius,II
Aspidites,,II
Aspidites,melanocephalus,II
Aspidites,ramsayi,II
Asteriopathes,,II
Asteriopathes,arachniformis,II
Asteriopathes,colini,II
Astraeosmilia,,II
Astraeosmilia,connata,II
Astrangia,,II
