control_number,specific_name,generic_name,category,qty,unit,origin,ship_date
2014402140,AMERICAN,MINK,SKI,24138,NO,PL,1/13/14
2014402147,COHO,SALMON,SPE,520,NO,CA,1/14/14
2014402158,,OYSTER,SPR,2784,NO,CN,1/15/14
2014402727,SWAN,MUSSEL,SPR,792,NO,CN,1/15/14
2014402804,GREAT PEARL,OYSTER,JWL,123,NO,PH,1/15/14
2014402804,ABALONE,SHELL,JWL,111,NO,NZ,1/15/14
2014402804,,SHELL,JWL,29,NO,US,1/15/14
2014402804,,OYSTER,JWL,14,NO,PF,1/15/14
2014402804,,SEA FAN,JWL,3,NO,CN,1/15/14
2014402804,,OYSTER,JWL,26,NO,PH,1/15/14
2014402986,DOMESTIC WATER,BUFFALO,SKU,2,NO,AU,1/4/14
2014403725,WHITE-TAILED,DEER,LPS,660,NO,US,1/5/14
2014403733,ABALONE,SHELL,SPR,1025,NO,CN,1/12/14
2014403733,BAMBOO,CORAL,CPR,70,NO,CN,1/12/14
2014403733,,OYSTER,SPR,782,NO,CN,1/12/14
2014403733,GREAT PEARL,OYSTER,SPR,116,NO,CN,1/12/14
2014403733,,SHELL,SPR,52,NO,CN,1/12/14
2014403738,CAPIZ,SHELL,SPR,1578,NO,PH,1/17/14
2014403743,,MUSSEL,SPR,2880,NO,CN,1/17/14
2014403746,,OYSTER,SPR,96,NO,IN,1/17/14
2014403749,PEARL,MUSSEL,SPR,96,NO,CN,1/17/14
2014403749,DOVE,SHELL,SPR,96,NO,CN,1/17/14
2014403749,,STARFISH,BOD,96,NO,CN,1/17/14
2014403749,,CLAM,SPR,96,NO,CN,1/17/14
2014403749,MOON,SHELL,SPR,96,NO,CN,1/17/14
2014403749,,COWRIE,SPR,96,NO,CN,1/17/14
2014403749,,CLAM,SPR,96,NO,CN,1/17/14
2014403749,,NASSA,SPR,96,NO,CN,1/17/14
2014404056,STONY,CORAL,COR,2,NO,PH,1/12/14
2014404349,DOVE,SHELL,SPR,180,NO,CN,1/17/14
2014404349,,OYSTER,SPR,173,NO,CN,1/17/14
2014404411,EUROPEAN,RABBIT,GAR,394,NO,AU,1/16/14
2014404452,,SQUID,UNS,837,KG,VN,1/6/14
2014404511,GREAT PEARL,OYSTER,SPR,1060,NO,VN,1/18/14
2014404762,PEARL,MUSSEL,SPR,15,NO,CN,1/11/14
2014404762,,SEA FAN,SPR,3,NO,CN,1/11/14
2014404775,DOMESTIC WATER,BUFFALO,TRO,1,NO,AU,1/11/14
2014405432,COMMON,SQUID,MEA,4495,KG,CN,1/18/14
2014405473,,OYSTER,JWL,672,NO,CN,1/18/14
